Site,City,meanCan,Canopy,gmcCanopy,meanImp,Impervious,gmcImpervious,meanGrass,Grass,gmcGrass
D04-EDW0,chil,9.821718,28.86949153,19.04777353,39.68663,14.43389831,-25.25273169,12.769209,20.84745763,8.078248627
D04-RDP1,chil,9.821718,4.223350254,-5.598367746,39.68663,64.04230118,24.35567118,12.769209,0.169204738,-12.60000426
D04-ROS0,chil,9.821718,5.125211506,-4.696506494,39.68663,52.78003384,13.09340384,12.769209,17.42808799,4.658878986
D05-ADC2,chil,9.821718,6.613065327,-3.208652673,39.68663,42.12227806,2.43564806,12.769209,14.40536013,1.636151134
D05-BRP1,chil,9.821718,4.1875,-5.634218,39.68663,52.29391892,12.60728892,12.769209,8.952702703,-3.816506297
D05-MIA1,chil,9.821718,8.113175676,-1.708542324,39.68663,44.37668919,4.69005919,12.769209,30.40540541,17.63619641
D05-PRC1,chil,9.821718,5.775337838,-4.046380162,39.68663,32.13682432,-7.54980568,12.769209,32.93918919,20.16998019
D06-KCG1,chil,9.821718,33.83473862,24.01302062,39.68663,18.92242833,-20.76420167,12.769209,4.55311973,-8.21608927
D07-ASC0,chil,9.821718,9.131313131,-0.690404869,39.68663,23.82491582,-15.86171418,12.769209,39.56228956,26.79308056
D07-NOC1,chil,9.821718,40.67457627,30.85285827,39.68663,24.64745763,-15.03917237,12.769209,10.6779661,-2.091242898
D08-CCC1,chil,9.821718,4.500848896,-5.320869104,39.68663,38.31409168,-1.37253832,12.769209,35.14431239,22.37510339
D08-DAW0,chil,9.821718,47.29642249,37.47470449,39.68663,9.948892675,-29.73773733,12.769209,3.918228279,-8.850980721
D08-DAW2,chil,9.821718,24.24745763,14.42573963,39.68663,23.31355932,-16.37307068,12.769209,9.661016949,-3.108192051
D09-CLG0,chil,9.821718,20.48983051,10.66811251,39.68663,18.95084746,-20.73578254,12.769209,37.96610169,25.19689269
D09-RYW1,chil,9.821718,49.61008403,39.78836603,39.68663,8.731092437,-30.95553756,12.769209,13.78151261,1.012303605
D09-VTC1,chil,9.821718,18.61590525,8.79418725,39.68663,38.27580372,-1.41082628,12.769209,6.768189509,-6.001019491
D10-CAN0,chil,9.821718,27.70756303,17.88584503,39.68663,28.72268908,-10.96394092,12.769209,4.537815126,-8.231393874
D10-MAC1,chil,9.821718,44.04384486,34.22212686,39.68663,6.978077572,-32.70855243,12.769209,12.14165261,-0.627556386
D10-VHC1,chil,9.821718,5.448040886,-4.373677114,39.68663,43.55706985,3.87043985,12.769209,20.2725724,7.503363402
J01-BBS1,chil,9.821718,1.176271186,-8.645446814,39.68663,44.8220339,5.1354039,12.769209,1.694915254,-11.07429375
J01-LMP1,chil,9.821718,2.886824324,-6.934893676,39.68663,56.49662162,16.80999162,12.769209,2.533783784,-10.23542522
J01-NOR1,chil,9.821718,0.357021997,-9.464696003,39.68663,37.38071066,-2.30591934,12.769209,0,-12.769209
J01-SEP1,chil,9.821718,0.275167785,-9.546550215,39.68663,78.91946309,39.23283309,12.769209,0.67114094,-12.09806806
J01-SKP1,chil,9.821718,0.523648649,-9.298069351,39.68663,82.09459459,42.40796459,12.769209,1.013513514,-11.75569549
J01-UIC1,chil,9.821718,0.355218855,-9.466499145,39.68663,82.72727273,43.04064273,12.769209,0.841750842,-11.92745816
R02-DPG1,chil,9.821718,4.055276382,-5.766441618,39.68663,39.74371859,0.05708859,12.769209,12.56281407,-0.20639493
R02-FRP1,chil,9.821718,3.107925801,-6.713792199,39.68663,64.91399663,25.22736663,12.769209,0.168634064,-12.60057494
R02-HRF1,chil,9.821718,1.281618887,-8.540099113,39.68663,76.11804384,36.43141384,12.769209,0.168634064,-12.60057494
R03-AUP1,chil,9.821718,4.257575758,-5.564142242,39.68663,64.2037037,24.5170737,12.769209,0,-12.769209
R03-CPG1,chil,9.821718,6.428813559,-3.392904441,39.68663,34.48305085,-5.20357915,12.769209,36.10169492,23.33248592
R03-EUC1,chil,9.821718,3.324915825,-6.496802175,39.68663,65.51178451,25.82515451,12.769209,0.168350168,-12.60085883
R03-MAP1,chil,9.821718,3.706375839,-6.115342161,39.68663,60.78355705,21.09692705,12.769209,0.67114094,-12.09806806
R04-MMW0,chil,9.821718,2.460884354,-7.360833646,39.68663,45.41156463,5.72493463,12.769209,22.10884354,9.339634537
R04-MMW3,chil,9.821718,7.414551607,-2.407166393,39.68663,40.09137056,0.40474056,12.769209,13.87478849,1.105579494
