Site,City,ju18_1,ju18_2,ju18_3,ju18_4,oc18_1,oc18_2,oc18_3,oc18_4,ja19_1,ja19_2,ja19_3,ja19_4,ap19_1,ap19_2,ap19_3,ap19_4,ju19_1,ju19_2,ju19_3,ju19_4,oc19_1,oc19_2,oc19_3,oc19_4,ja20_1,ja20_2,ja20_3,ja20_4,ap20_1,ap20_2,ap20_3,ap20_4,ju20_1,ju20_2,ju20_3,ju20_4
D02-SCP1,chil,7,7,7,7,0,0,0,0,7,7,4,0,7,7,7,7,7,7,1,0,0,0,0,0,7,7,7,7,0,0,0,0,7,7,7,7
D03-AFP1,chil,7,7,7,7,0,0,0,0,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,0,0
D03-AMP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
D03-CHP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0
D03-GOM1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7,0,0,0,0,7,7,7,7
D03-NPV1,chil,7,7,7,7,0,0,0,0,7,7,7,0,7,7,7,7,7,7,7,6,7,7,7,7,4,0,7,7,0,0,0,0,7,7,7,7
D03-STB1,chil,7,7,7,6,0,0,0,0,7,7,7,1,7,7,7,7,7,7,4,0,7,7,7,7,0,1,7,7,0,0,0,0,7,7,7,7
D04-DNP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D04-EDW0,chil,7,7,7,7,0,0,0,0,7,7,7,1,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7,0,0,0,0,7,7,7,7
D04-RDP1,chil,7,7,7,7,0,0,0,0,7,7,5,0,7,7,7,7,7,7,7,7,7,7,7,7,0,1,7,7,0,0,0,0,7,7,0,0
D04-ROS0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,5,0,1,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D05-ADC2,chil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
D05-BRP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0,0,0,0,0,0,0,7,7,7,7
D05-MIA1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
D05-PRC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D06-KCG1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,0,0
D07-ASC0,chil,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D07-NOC1,chil,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7,0,1,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,0,7,7
D08-CCC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D08-DAW0,chil,7,7,7,7,0,0,0,0,7,7,7,5,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,3,0,0,0,0,7,7,7,7
D08-DAW2,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0,7,7,7,7,0,0,0,0,3,7,7,3
D09-CLG0,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7,7,7
D09-RYW1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D09-VTC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D10-CAN0,chil,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D10-MAC1,chil,7,7,7,7,0,0,0,0,7,0,7,5,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
D10-VHC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,2,0,0,0,0,3,7,7,4
J01-BBS1,chil,7,7,7,5,0,0,0,0,7,7,7,1,7,7,7,7,7,7,7,4,7,7,7,7,0,7,7,1,0,0,0,0,7,7,7,7
J01-LMP1,chil,7,7,7,6,0,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,7,7,7,7
J01-NOR1,chil,0,0,0,0,0,0,0,0,7,7,7,7,0,3,7,0,3,7,7,4,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0
J01-SEP1,chil,7,7,7,7,0,0,0,0,7,7,4,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
J01-SKP1,chil,7,7,7,5,0,0,0,0,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,0,7,7,7,7
J01-UIC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,0,0,0,0,7,7,7,7
R02-DPG1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R02-FRP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,1,0,0,0,0,7,7,7,7
R02-HRF1,chil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
R03-AUP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,7,7
R03-CPG1,chil,7,7,7,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,1,0,0,0,0,7,7,7,7
R03-EUC1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,3,7,4,0,7,7,7,7,0,0,0,0,7,7,0,0
R03-MAP1,chil,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,1,0,0,0,0,7,7,7,7
